140,Andrew Cogliano,ANA,C,19,5,4,9,+6,8,0,0,0,0,39,12.8,15:22,22.1,12.5
141,Curtis Glencross,CGY,L,15,5,4,9,-4,6,1,0,2,0,30,16.7,18:52,26.4,39.3
142,Jeff Carter,LAK,C,14,5,4,9,-2,6,2,1,1,1,57,8.8,19:16,25.4,62.1
143,Todd Bertuzzi,DET,R,18,5,4,9,+1,10,3,0,0,0,34,14.7,14:56,20.8,75.0
144,Michael Bournival,MTL,L,15,5,4,9,+6,4,1,0,1,0,32,15.6,12:59,18.9,52.6
145,Drew Doughty,LAK,D,17,4,5,9,+2,22,2,0,1,0,48,8.3,25:33,32.3,0.0
146,Brian Gionta,MTL,R,17,4,5,9,-1,8,1,0,0,0,41,9.8,17:38,24.1,39.1
147,Devin Setoguchi,WPG,R,18,4,5,9,+3,4,1,0,1,0,39,10.3,14:44,20.4,50.0
148,Lee Stempniak,CGY,R,10,4,5,9,-2,6,0,1,0,0,35,11.4,18:21,25.6,20.0
149,Eric Staal,CAR,C,17,3,6,9,-9,20,0,0,0,0,59,5.1,21:08,25.4,48.5
150,Ales Hemsky,EDM,R,19,3,6,9,-12,2,0,0,0,0,33,9.1,17:36,25.6,0.0
151,Olli Jokinen,WPG,C,19,3,6,9,-1,12,0,0,0,0,31,9.7,14:44,20.6,44.6
152,Matt Cooke,MIN,L,18,3,6,9,+7,10,0,0,2,0,23,13.0,15:16,22.1,60.0
153,RJ Umberger,CBJ,L,16,3,6,9,-1,6,2,0,2,0,37,8.1,16:47,20.9,66.7
154,Colin Wilson,NSH,C,17,3,6,9,+0,4,2,0,1,0,21,14.3,15:47,20.1,25.0
155,Jaden Schwartz,STL,L,15,3,6,9,+3,9,0,0,0,0,30,10.0,16:13,23.4,50.0
156,Alex Tanguay,COL,L,13,3,6,9,+8,4,0,1,1,0,21,14.3,17:16,21.6,33.3
157,Jeff Skinner,CAR,L,10,3,6,9,+5,8,2,0,0,0,36,8.3,15:23,20.6,56.2
158,Brian Campbell,FLA,D,18,2,7,9,+2,6,0,0,0,0,23,8.7,25:51,28.0,0.0
159,Jason Garrison,VAN,D,20,2,7,9,-4,12,1,1,0,0,57,3.5,22:01,27.1,0.0
160,Cam Fowler,ANA,D,19,2,7,9,+1,4,2,0,0,0,32,6.3,22:30,28.7,0.0
161,Niklas Hjalmarsson,CHI,D,18,2,7,9,+8,6,0,1,0,0,23,8.7,21:14,29.7,0.0
162,Mats Zuccarello,NYR,L,16,2,7,9,+2,8,1,0,1,0,34,5.9,16:52,21.0,50.0
163,Mark Giordano,CGY,D,8,2,7,9,-3,8,1,0,0,0,18,11.1,25:03,32.8,0.0
